Channel_name,Subscribers,Views,Total_videos,playlist_id
India Today,7900000,2891500097,160357,UUYPvAwZP8pZhSMW8qs7cVCw
Republic World,5820000,2224770476,103881,UUwqusr8YDwM-3mEYTDeJHzw
TIMES NOW,3730000,1735635668,92628,UU6RJ7-PaXg6TIH2BzZfTV7w
NewsX,911000,259545072,95916,UUytSP0M0Jdnw6qIy3Y-nTig
WION,8140000,4412210258,121508,UU_gUM8rL-Lrg6O3adPW9K1g
MIRROR NOW,656000,281272299,69478,UUWCEYVwSqr7Epo6sSCfUgiw
CNN-News18,5580000,2358876403,145879,UUef1-8eOpJgud7szVPlZQAQ
DD India,386000,7387957,2841,UUGDQNvybfDDeGTf4GtigXaw
